id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state
2b711756-aa97,1FDFE4FS7GDC43394,,93000,16394 gvb,2016,Ford,E-Series Cutaway,Base,Cutaway,Truck,RWD,Automatic,Unleaded,6.8,V,western reserve coach sales,12347 Marlboro Ave. Ne,Alliance,OH
f389d2a0-f533,2CKDL43F586055894,6195,99300,C457B,2008,Pontiac,Torrent,Base,SUV,Truck,4WD,Automatic,Unleaded,3.4,V,deery brothers chrysler dodge jeep ram,1000 West Hickman,Waukee,IA
16cdae9f-34ab,1GKEL19WXXB505041,4995,124868,76,1999,GMC,Safari,SL,Minivan,Truck,4WD,Automatic,Unleaded,4.3,V,auto worxx llc,601 Green Ridge Street,Scranton,PA
48341a40-aca0,JTJHT00W464009071,12495,201841,4009071,2006,Lexus,LX,470,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,excellence auto trade,1072 Atlantic Avenue,Brooklyn,NY
2ea61cab-10ca,WDDDJ72X98A120814,15981,53466,PN850A,2008,Mercedes-Benz,CLS-Class,CLS550,Coupe,Car,RWD,Automatic,Premium Unleaded,5.5,V,hendrick chevrolet buick gmc southpoint,127 Kentington Drive,Durham,NC
9cf23015-1524,WBA7U2C06MCF04650,107995,2740,MCF04650,2021,BMW,7 Series,750i,Sedan,Car,4WD,Automatic,Premium Unleaded,4.4,V,holman lincoln turnersville,3641 Route 42 South,Turnersville,NJ
0658cce2-2a20,WDDNG7BB5AA341971,15490,112063,HTLP341971,2010,Mercedes-Benz,S-Class,S550,Sedan,Car,RWD,Automatic,Premium Unleaded,5.5,V,napleton northlake kia,3626 Northlake Blvd.,Palm Beach Gardens,FL
154608ed-2291,KL8CB6S97EC502735,7495,68665,SA1619,2014,Chevrolet,Spark,LS,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,bk2 auto sales,1119 Broad Street,Beloit,WI
0e11dabb-fde7,3C6UR5SJ6LG283022,74995,16660,A17268,2020,RAM,Ram 2500 Pickup,Laramie Limited,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,dick poe chrysler jeep,6501 Montana Ave,El Paso,TX
3fb809ad-461e,5LMPU28L1WLJ46968,,163869,10109,1998,Lincoln,Navigator,Base,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,abundant life auto sales,116 East Main Street,Brownsburg,IN
24ab884b-0adc,1G1JH52F537326294,5400,82388,HN10267A,2003,Chevrolet,Cavalier,LS Sport,Sedan,Car,FWD,Automatic,Unleaded,2.2,I,central valley hyundai,4620 Mchenry Ave,Modesto,CA
e53c0575-80ff,5YMCY0C08M9D83277,,4866,516720T,2021,BMW,X6,M,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,mckenna porsche,10830 Firestone Blvd,Norwalk,CA
396545ff-3e59,5GZCZ23D13S822746,2695,231128,R4319,2003,Saturn,VUE,Base,SUV,Truck,FWD,Manual,Unleaded,2.2,I,regan motors,1282 Newbury Road,Thousand Oaks,CA
27de9057-ecdd,ZHWUT4ZF4LLA12737,319900,1280,LLA12737,2020,Lamborghini,Huracan,EVO,Convertible,Car,4WD,Manual,Premium Unleaded,5.2,V,alfa romeo newport beach,1425 Baker St.,Costa Mesa,CA
aca24f7c-a411,ZAM45KMAXC0064192,46900,31954,2097,2012,Maserati,GranTurismo,S,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,classic cars of palm beach,1612 North Highway 1,Jupiter,FL
babd7b49-23d8,1GNDS13S052200426,,0,2697,2005,Chevrolet,TrailBlazer,LS,SUV,Truck,RWD,Automatic,Unleaded,4.2,I,lockhart auto sales,6444 North Orange Blossom Trail,Orlando,FL
7d5a727c-1767,WDDUG8CB3GA260363,,0,B16128,2016,Mercedes-Benz,S-Class,S550,Sedan,Car,RWD,Automatic,Premium Unleaded,4.7,V,mercedes-benz of el dorado hills,1000 Mercedes Lane,El Dorado Hills,CA
d3615d72-ee6a,WDBRF61J83A504017,6745,119213,LU029598A,2003,Mercedes-Benz,C-Class,C240,Sedan,Car,RWD,Automatic,Premium Unleaded,2.6,V,mercedes-benz of spokane,21802 E. George Gee Avenue,Liberty Lake,WA
aba6b8bd-0084,WDDUG8FB9FA140982,40925,68988,TC21208A,2015,Mercedes-Benz,S-Class,S550,Sedan,Car,4WD,Automatic,Premium Unleaded,4.7,V,moses chevrolet,516 Maccorkle Ave,Saint Albans,WV
1babcc6c-20f7,WDDXJ8FB7GA015754,64950,54712,15754,2016,Mercedes-Benz,S-Class,S550,Coupe,Car,4WD,Automatic,Premium Unleaded,4.7,V,auto collection of murfreesboro,363 Se Broad St,Murfreesboro,TN
c44cb69a-20df,1G1AZ55F377171761,4990,175518,11069,2007,Chevrolet,Cobalt,LTZ,Sedan,Car,FWD,Automatic,Unleaded,2.2,I,import motors,3700 Chippewa St,Saint Louis,MO
0fc0c859-8cd4,WBAYE8C5XDD131698,28995,23419,DD131698,2013,BMW,7 Series,750i,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,silver star motors,257 West Avenue,Tallmadge,OH
3fb91a34-012a,1FMJK2A50AEB58293,10990,168207,1721084B,2010,Ford,Expedition,Limited,SUV,Truck,4WD,Automatic,E85 / Unleaded,5.4,V,audi sioux falls,801 West 41st Street,Sioux Falls,SD
af4b551d-0d81,3GNBABDB0AS605649,,187455,10307,2010,Chevrolet,HHR,LT,Mini Mpv,Car,FWD,Automatic,E85 / Unleaded,2.2,I,deluxe auto sale inc,2256 N Cicero,Chicago,IL
c373c5bb-399f,MAJ3P1TE4JC168641,,,BB15135A,2018,Ford,Ecosport,SE,SUV,Truck,FWD,Automatic,Unleaded,1,I,kia of lynchburg,3400 Old Forest Road,Lynchburg,VA
c8640db7-9118,WP0AB2A78JL199188,79998,25816,RV1002,2018,Porsche,Panamera,S,Hatchback,Car,4WD,Automatic,Premium Unleaded,2.9,V,grieco hyundai,1890 Hartford Ave,Johnston,RI
186c84da-f237,ZHWUC1ZD0ELA02139,279990,19623,LA02139,2014,Lamborghini,Aventador,Base,Coupe,Car,4WD,Automatic,Unleaded,6.5,V,penske luxury homepage -,2555 Telegraph Road,Bloomfield Hills,MI
25b5feb9-74cd,WBA6B2C51FGB99440,38999,66589,,2015,BMW,6 Series,650i,Coupe,Car,RWD,Automatic,Premium Unleaded,4.4,V,royal car center,3950 E Roosevelt Boulevard,Philadelphia,PA
48782d38-c7e0,1C4SDJGJ3JC150251,57924,23525,L957,2018,Dodge,Durango,SRT,SUV,Truck,4WD,Automatic,Premium Unleaded,6.4,V,route 2 auto sales,870 Quaker Lane,East Greenwich,RI
122d3fc7-38ae,5UXCX4C53KLS36231,88555,9944,P7027,2019,BMW,X7,50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,bmw of south atlanta,4171 Jonesboro Rd,Union City,GA
94e8a899-29b2,WP1AB2AY6KDA61054,83900,1100,13313,2019,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,2.9,V,jaguar west ashley,1511 Savannah Highway,Charleston,SC
003ce1b3-eca5,1GNDV23117D173734,,200000,73734,2007,Chevrolet,Uplander,LS,Minivan,Truck,FWD,Automatic,Unleaded,3.9,V,car solutions,2443 South Road,Hermitage,PA
2ac047a4-5f3f,5UXCY8C01LLE40572,86281,19368,P0036,2020,BMW,X6,M50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,jaguar newport beach,1540 Jamboree Road,Newport Beach,CA
12a5b808-0875,ZAM45KMA1C0065506,62995,4240,WC0065506T,2012,Maserati,GranTurismo,S,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,koenigsegg florida,2300 Ne 151st Street,Miami,FL
0ca3bf40-d5a3,MAJ3P1TE2JC175247,14888,51143,PF230,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1,I,chevrolet of watsonville,490 Auto Center Drive,Watsonville,CA
8821aef9-2a88,1FMJU1H51BEF21972,13997,132650,1072,2011,Ford,Expedition,XLT,SUV,Truck,RWD,Automatic,E85 / Unleaded,5.4,V,little bear car company,1034 Hwy 1 South,Lugoff,SC
5bf75718-2ece,1C4SDJGJ8JC416024,62501,32405,J210560A,2018,Dodge,Durango,SRT,SUV,Truck,4WD,Automatic,Premium Unleaded,6.4,V,chapman management group,1170 Easton Road,Horsham,PA
2b627280-42de,WBSAE0C07LCD79367,125999,4611,D79367,2020,BMW,8 Series,M8 Competition,Coupe,Car,4WD,Automatic,Premium Unleaded,4.4,V,gravity autos,1830 Cobb Parkway South,Marietta,GA
1a13550c-44bb,ZAM45VLA7H0236530,74989,17592,G00995,2017,Maserati,GranTurismo,Sport,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,aston martin dealership of glenview | new & used aston martin for sale,301 Waukegan Road,Glenview,IL
52ae9ab1-3a7c,1D4HB38N85F611562,6999,152237,B15516,2005,Dodge,Durango,SXT,SUV,Truck,4WD,Automatic,Unleaded,4.7,V,victory motors of colorado,1325 Main St,Longmont,CO
79add1ed-dab7,WP0AA2A98ES107903,72226,42541,X04531A,2014,Porsche,911,Carrera,Coupe,Car,RWD,Manual,Premium Unleaded,3.4,H,hendrick porsche,6800 E Independence Blvd,Charlotte,NC
abfc28bb-e8bf,ZACNJBD16LPL96982,22995,4845,D28542,2020,Jeep,Renegade,Limited,SUV,Truck,4WD,Automatic,Unleaded,1.3,I,billion mazda,3405 South Westport Ave.,Sioux Falls,SD
7e847df0-cc3b,ML32F3FJ2HHF04965,,29723,2HHF04965,2017,Mitsubishi,Mirage G4,ES,Sedan,Car,FWD,Manual,Unleaded,1.2,I,my dealer,3300 S. Dairy Ashford Rd # A,Houston,TX
7ceb1cf3-ba6f,WDDUG8CB6HA322016,47555,77542,P6725,2017,Mercedes-Benz,S-Class,S550,Sedan,Car,RWD,Automatic,Premium Unleaded,4.7,V,volkswagen of macon,4786 Riverside Dr,Macon,GA
9bcd5d29-b3b1,1G1YY25E775136966,69997,17000,CM5453,2007,Chevrolet,Corvette,Z06,Coupe,Car,RWD,Manual,Premium Unleaded,7,V,cosmo motors,545 12th Street Drive Nw,Hickory,NC
20f6a4a6-8625,1FTWW31R89EA41404,15000,208454,T30456B,2009,Ford,F-350 Super Duty,XL,Pickup,Truck,4WD,Manual,Diesel,6.4,V,larry h. miller auto group,222 South Auto Drive,Boise,ID
9d87c578-78e4,1FMJU1J54EEF22760,20872,95414,V6266,2014,Ford,Expedition,XLT,SUV,Truck,4WD,Automatic,E85 / Unleaded,5.4,V,hiller ford inc,6455 S 108Th St,Franklin,WI
d76c57db-000b,JTHBN36F340126347,7995,157456,126347,2004,Lexus,LS,430,Sedan,Car,RWD,Automatic,Premium Unleaded,4.3,V,motors to go inc,700 East Division St,Arlington,TX
55cf5790-4c63,WP0AE2A74KL125260,89999,6512,MAJ0764,2019,Porsche,Panamera,4 E-Hybrid,Hatchback,Car,4WD,Automatic,Electric / Premium Unleaded,2.9,V,dch auto group,955 U.S. 9,South Amboy,NJ
c3584cef-4180,1GNDX03E84D137679,,157197,6877B,2004,Chevrolet,Venture,Cargo,Minivan,Truck,FWD,Automatic,Unleaded,3.4,V,steve link ford lincoln,916 West St,Grinnell,IA
8a00c23c-0639,JTHFN48Y569000270,24995,82885,P00270,2006,Lexus,SC,430,Convertible,Car,RWD,Automatic,Premium Unleaded,4.3,V,rick hendrick jeep chrysler dodge ram fiat,8333 Rivers Ave,Charleston,SC
2fd3695b-88fd,1GTDT149778115343,9750,157526,8200,2007,GMC,Canyon,WT,Pickup,Truck,4WD,Automatic,Unleaded,2.9,I,quality auto sales,3088 Skokie Valley Rd,Highland Park,IL
284431ed-513a,1FDUF4HYXFEB37620,44200,52063,1P1415,2015,Ford,F-450 Super Duty Chassis Cab,XL,Chassis Cab,Truck,4WD,Automatic,Unleaded,6.8,V,montrose ford of fairlawn,3960 Medina Road,Akron,OH
d46301b9-e152,2G1WL52J711165692,,137735,165692,2001,Chevrolet,Lumina,Base,Sedan,Car,FWD,Automatic,Unleaded,3.1,V,miller motors,225 W Hwy 24 Traffic,Rossville,KS
e2c4b08a-19bd,1GBDV13WX8D130630,,165883,1125,2008,Chevrolet,Venture Cargo,LS,Cargo Van,Truck,FWD,Automatic,E85 / Unleaded,3.9,V,draeger motor sales inc.,15015 Cleveland Street,Spring Lake,MI
4709d2d3-4532,WBA7U2C00LGJ59393,81411,22100,MB1442A,2020,BMW,7 Series,750i,Sedan,Car,4WD,Automatic,Premium Unleaded,4.4,V,hendrick subaru southpoint,200 Kentington Drive,Durham,NC
85774668-8cad,WP0CB2A89DS134135,51228,29249,PS04553,2013,Porsche,Boxster,S,Roadster,Car,RWD,Manual,Premium Unleaded,3.4,H,darrell waltrip honda,1430 Murfreesboro Road,Franklin,TN
31ca0434-b7ed,ZAM45VLA3E0076934,44995,29351,MP1148,2014,Maserati,GranTurismo,Sport,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,hi tech motorcars,12971 Pond Springs Rd.,Austin,TX
f928fe81-c767,1GNDT13S452256737,3900,192055,P25125A,2005,Chevrolet,TrailBlazer,LT,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,shea chevrolet,5135 Corunna Rd,Flint,MI
bd494374-2e1e,3C6UR5CJXLG142453,52206,10973,21D149A,2020,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,peters autosports,3306 W Grande Blvd,Tyler,TX
0bad893b-de72,ML32A4HJ2FH034562,9000,25163,MP519,2015,Mitsubishi,Mirage,ES,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,sutherlin mitsubishi - vero beach,1440 Highway 1,Vero Beach,FL
fd3a51da-c21a,3C6UR5CJ4JG388038,39800,29783,P3593,2018,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,sullivan-parkhill chevrolet,440 W Anthony Dr,Champaign,IL
8a888859-4559,WDDJK7DA9DF001554,42998,50149,DF001554,2013,Mercedes-Benz,SL-Class,SL550,Convertible,Car,RWD,Automatic,Premium Unleaded,4.7,V,mercedes-benz of miami,1200 Northwest 167Th Street,Miami,FL
eb82794b-9e23,3C6UR5DJ2LG155678,55998,19689,18490,2020,RAM,Ram 2500 Pickup,Big Horn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,freedom chrysler dodge jeep ram,625 S Springfield,Virden,IL
499085c9-ff8b,ML32A3HJ9EH023003,,76241,EH023003A,2014,Mitsubishi,Mirage,DE,Hatchback,Car,FWD,Manual,Unleaded,1.2,I,principle toyota of hernando,2887 Mcingvale Road,Hernando,MS
b22cfdd9-f05e,1GNDT13X04K151798,,215637,21152A,2004,Chevrolet,Blazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.3,V,fleetrates,6340 Wilshire Blvd,Los Angeles,CA
1b0d58b6-e817,ML32A5HJ2LH006259,,24881,T7379,2020,Mitsubishi,Mirage,LE,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,ramey chrysler dodge jeep,27992 Gov. G. C. Peery Hwy.,North Tazewell,VA
af4ebb58-bd4b,4JGDA7EB3KB206420,86995,1291,4PKB206420,2019,Mercedes-Benz,GLE-Class,AMG® GLE63,SUV,Truck,4WD,Automatic,Premium Unleaded,5.5,V,win chevrolet,2201 E 223rd St,Carson,CA
